perc,sel_perc,val,count
2,2,7.1,44051
4,4,6.71,88180
6,6,6.52,132408
8,8,6.39,176492
10,10,6.3,220745
12,12,6.22,264569
14,14,6.15,308638
16,16,6.09,352796
18,18,6.04,396471
20,20,5.99,441114
22,22,5.94,485415
24,24,5.9,528892
26,26,5.86,572711
28,28,5.82,616748
30,30,5.79,661791
32,32,5.76,704975
34,34,5.72,750102
36,36,5.7,793249
38,38,5.67,837856
40,40,5.64,880723
42,42,5.62,924922
44,44,5.59,968905
46,46,5.57,1013191
48,48,5.54,1057926
50,50,5.52,1102427
52,52,5.5,1145712
54,54,5.48,1189342
56,56,5.45,1234208
58,58,5.43,1277221
60,60,5.41,1321158
62,62,5.39,1365113
64,64,5.37,1409650
66,66,5.35,1454030
68,68,5.33,1497592
70,70,5.31,1541397
72,72,5.29,1585624
74,74,5.27,1629739
76,76,5.25,1673515
78,78,5.22,1717746
80,80,5.2,1761250
82,82,5.18,1805369
84,84,5.16,1849947
86,86,5.13,1893566
88,88,5.11,1937541
90,90,5.09,1981422
92,92,5.06,2025497
94,94,5.03,2069528
96,96,5,2113582
98,98,4.96,2157433
100,100,4.91,2201461
