City,State,Latitude,Longitude,Year,Month,NDVI,NDBI,NDWI,Elevation (m),LST (°C)
Mumbai,Mahārāshtra,19.0758,72.8775,2021,January,0.0371,0.0316,-0.0858,5,34.57
Kolkata,West Bengal,22.5675,88.37,2021,January,0.0715,0.0436,-0.1684,6,26.96
Delhi,Delhi,28.66,77.23,2021,January,0.0814,-0.0198,-0.0839,219,18.27
Chennai,Tamil Nādu,13.0825,80.275,2021,January,0.0603,0.1507,-0.0752,9,31.32
Bangalore,Karnātaka,12.9791,77.5913,2021,January,0.2864,-0.0184,-0.3224,924,28.66
Ahmedabad,Gujarāt,23.0219,72.5797,2021,January,0.1761,0.0147,-0.212,52,27.0
Pune,Mahārāshtra,18.5211,73.8553,2021,January,0.2171,-0.0227,-0.1771,554,30.14
Hyderabad,Telangāna,17.3617,78.4747,2021,January,0.0375,0.042,-0.0444,508,30.96
Surat,Gujarāt,21.205,72.84,2021,January,0.0784,-0.0064,-0.0862,14,29.73
Prayagraj,Uttar Pradesh,25.45,81.85,2021,January,0.0693,0.0068,-0.002,95,23.65
Kanpur,Gujarāt,24.285,72.6933,2021,January,0.486,-0.0825,-0.5045,335,27.09
Kanpur,Uttar Pradesh,26.4725,80.3311,2021,January,0.0794,0.0324,-0.0877,132,22.56
Belahi,Bihār,25.7167,86.4,2021,January,0.2567,-0.1454,-0.2046,41,22.94
Vadodara,Gujarāt,22.3,73.2,2021,January,0.1247,0.0366,-0.1488,38,29.08
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2021,January,0.136,0.0696,-0.1903,318,29.39
Lucknow,Uttar Pradesh,26.847,80.947,2021,January,0.0478,-0.0129,-0.0539,115,22.21
Kannankulam,Kerala,10.4799,76.1131,2021,January,0.718,-0.1386,-0.6365,13,29.23
Mahuakheraganj,Uttarākhand,29.13,78.95,2021,January,0.0447,-0.2104,-0.0074,222,20.11
Nagla,Uttarākhand,29.01,79.51,2021,January,0.0514,-0.2034,-0.0373,227,18.14
Jaipur,Rājasthān,26.915,75.82,2021,January,0.5445,-0.2042,-0.5423,441,21.11
Kottarassheri,Kerala,10.6167,76.5333,2021,January,0.2668,0.2549,-0.3532,147,29.25
Attadappa,Kerala,11.85,75.4167,2021,January,0.7192,-0.2975,-0.637,37,31.23
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2021,January,0.5017,-0.0766,-0.4961,337,25.4
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2021,January,0.3017,0.0258,-0.3707,305,26.99
Nagpur,Mahārāshtra,21.1497,79.0806,2021,January,0.2913,-0.0591,-0.3343,318,27.17
Guwahati,Assam,26.1806,91.7502,2021,January,0.0547,0.072,-0.0467,57,21.99
Ghaziabad,Uttar Pradesh,28.6667,77.4167,2021,January,0.0942,-0.0471,-0.0686,211,19.39
Coimbatore,Tamil Nādu,11.0008,76.9633,2021,January,0.2421,0.0216,-0.1828,417,29.36
Patna,Bihār,25.61,85.1414,2021,January,0.0261,0.1271,-0.0359,63,21.85
Rajkot,Gujarāt,22.2969,70.7984,2021,January,0.1184,0.1954,-0.1722,134,27.41
Vishakhapatnam,Andhra Pradesh,17.6939,83.2922,2021,January,0.0818,0.041,-0.0672,12,29.36
Indore,Madhya Pradesh,22.7186,75.855,2021,January,0.1091,0.1288,-0.2228,553,27.23
Abhepur,Punjab,30.6667,76.8333,2021,January,0.0584,-0.0437,-0.0513,311,19.81
Gumanwala,Uttarākhand,29.9333,77.9,2021,January,0.3987,-0.2893,-0.3121,277,18.31
Thane,Mahārāshtra,19.18,72.9633,2021,January,0.461,-0.0527,-0.4506,14,31.73
Bhopal,Madhya Pradesh,23.25,77.4167,2021,January,0.0827,0.1202,-0.1286,512,25.14
Agra,Uttar Pradesh,27.18,78.02,2021,January,0.1515,0.0785,-0.152,184,20.72
Peyanvilai,Tamil Nādu,8.5674,78.1046,2021,January,0.4237,-0.1573,-0.4073,8,28.56
Pimpri-Chinchwad,Mahārāshtra,18.6278,73.8131,2021,January,0.4406,-0.0811,-0.3948,584,31.22
Harbatpur,Uttarākhand,30.45,77.73,2021,January,0.3411,-0.0171,-0.3445,445,17.9
Saundhonwali,Uttarākhand,30.3331,77.9608,2021,January,0.0549,0.0464,-0.1166,612,18.58
Ludhiana,Punjab,30.9083,75.8486,2021,January,0.1353,-0.1051,-0.1259,243,18.48
Meerut,Uttar Pradesh,28.98,77.7064,2021,January,0.0693,0.0675,-0.0702,228,20.1
Madurai,Tamil Nādu,9.9197,78.1194,2021,January,0.0549,-0.1047,-0.0577,141,31.74
Nasik,Mahārāshtra,20.0,73.7833,2021,January,0.1306,0.0628,-0.217,588,29.11
Faridabad,Haryāna,28.4167,77.3,2021,January,0.1254,0.0417,-0.1224,208,19.28
Madarpur,Bihār,26.227,84.6746,2021,January,0.1508,-0.0702,-0.1124,69,20.89
Najafgarh,Delhi,28.6125,76.9847,2021,January,0.0567,0.0076,-0.0845,220,17.53
Jabalpur,Madhya Pradesh,23.1667,79.9333,2021,January,0.0773,0.0264,-0.077,399,26.53
Madanpur,Uttarākhand,29.326,79.1537,2021,January,0.0218,-0.2195,0.0103,315,18.78
Kamalwaganja Gaur,Uttarākhand,29.2117,79.4654,2021,January,0.0169,-0.2528,0.0081,383,20.5
Kalyan,Mahārāshtra,19.25,73.15,2021,January,0.1883,0.1039,-0.228,10,32.29
Asansol,West Bengal,23.6833,86.9667,2021,January,0.086,0.0584,-0.1013,125,24.98
Vijayawada ,Andhra Pradesh,16.5167,80.6167,2021,January,0.2889,-0.053,-0.2829,27,28.25
Vasai-Virar,Mahārāshtra,19.47,72.8,2021,January,0.0607,0.2172,-0.0982,0,32.62
Varanasi,Uttar Pradesh,25.3189,83.0128,2021,January,0.029,-0.0186,-0.0427,78,21.84
Kalleli,Kerala,9.2,76.8833,2021,January,0.7914,-0.1881,-0.7163,133,29.53
Srinagar,Jammu and Kashmīr,34.0911,74.8061,2021,January,0.0097,-0.159,0.0014,1595,5.22
Aurangabad,Mahārāshtra,19.88,75.32,2021,January,0.2733,-0.0047,-0.2908,564,31.52
Dhanbad,Jhārkhand,23.7928,86.435,2021,January,0.2028,0.0292,-0.2468,245,25.77
Amritsar,Punjab,31.6269,74.877,2021,January,0.0089,-0.0476,-0.0096,234,18.16
Haora,West Bengal,22.58,88.3294,2021,January,0.1667,0.0738,-0.2046,12,24.72
Ranchi,Jhārkhand,23.3556,85.3347,2021,January,0.5015,-0.0594,-0.4933,643,25.65
Gwalior,Madhya Pradesh,26.2125,78.1775,2021,January,0.0807,0.1139,-0.2007,215,23.32
Jodhpur,Rājasthān,26.2944,73.0278,2021,January,0.1295,0.0696,-0.2012,251,23.93
Chandigarh,Chandīgarh,30.7364,76.7883,2021,January,0.2236,-0.1261,-0.1821,349,17.68
Raipur,Chhattīsgarh,21.2379,81.6337,2021,January,0.0927,0.0157,-0.1415,309,29.45
Warangal,Telangāna,17.9756,79.6011,2021,January,0.0665,0.0445,-0.0808,269,30.4
Kota,Rājasthān,25.18,75.83,2021,January,0.1248,-0.0474,-0.2153,230,23.02
Bareilly,Uttar Pradesh,28.364,79.415,2021,January,0.0046,0.0788,-0.0008,180,21.0
Solapur,Mahārāshtra,17.6703,75.9011,2021,January,0.1182,0.0789,-0.1884,474,32.3
Hubli,Karnātaka,15.3108,75.0925,2021,January,0.2144,0.0924,-0.2627,618,29.98
Mysore,Karnātaka,12.3086,76.6531,2021,January,0.0874,0.1101,-0.1373,747,29.83
Trichinopoly,Tamil Nādu,10.8269,78.6928,2021,January,0.2278,0.0273,-0.2558,74,28.88
Moradabad,Uttar Pradesh,28.8389,78.7769,2021,January,-0.0859,-0.4331,0.0831,205,20.2
Tiruppur,Tamil Nādu,11.1075,77.3398,2021,January,0.1741,0.0743,-0.1854,305,30.4
Jamnagar,Gujarāt,22.47,70.07,2021,January,0.2318,0.1042,-0.2958,21,26.77
Gurgaon,Haryāna,28.4667,77.0333,2021,January,0.2259,-0.0812,-0.2844,224,17.94
Aligarh,Uttar Pradesh,27.88,78.08,2021,January,0.0682,-0.0285,-0.0522,190,19.98
Jalandhar,Punjab,31.3256,75.5792,2021,January,0.0122,-0.0305,-0.0061,242,18.48
Bhubaneshwar,Odisha,20.295,85.825,2021,January,0.0896,-0.0337,-0.1062,47,28.68
Bhayandar,Mahārāshtra,19.3,72.85,2021,January,0.2221,0.1445,-0.2297,9,31.92
Narela,Delhi,28.85,77.1,2021,January,0.1081,0.0695,-0.1308,212,17.82
Shishgarh,Uttar Pradesh,28.72,79.32,2021,January,0.0255,-0.1239,-0.0012,181,19.0
